INFO  | 2019-01-27 15:57:07 | Order Window 4 | Order 9      | Hello! Make your order please!
INFO  | 2019-01-27 15:57:08 | Order Window 1 | Order 5      | 1 x French Fries was brought!
INFO  | 2019-01-27 15:57:08 | Order Window 2 | Order 8      | 3 x Coca Cola 6.6
INFO  | 2019-01-27 15:57:08 | Order Window 3 | Order 7      | 1 x McFlurry 3.0
INFO  | 2019-01-27 15:57:08 | Order Window 3 | Order 7      | Total price: 10.4
INFO  | 2019-01-27 15:57:08 |                | Order 7      | Status: packaging
INFO  | 2019-01-27 15:57:09 | Order Window 4 | Order 9      | 2 x Hamburger 3.6
INFO  | 2019-01-27 15:57:09 |                | Pre-order 6  | 1 x McFlurry was packaged!
INFO  | 2019-01-27 15:57:10 | Order Window 1 | Order 5      | 2 x Hamburger was brought!
INFO  | 2019-01-27 15:57:10 | Order Window 2 | Order 8      | 2 x French Fries 6.0
INFO  | 2019-01-27 15:57:11 | Order Window 3 | Order 7      | 2 x Coca Cola was brought!
INFO  | 2019-01-27 15:57:11 | Order Window 4 | Order 9      | 1 x Coca Cola 2.2
INFO  | 2019-01-27 15:57:11 |                | Pre-order 6  | 1 x McChicken was packaged!
INFO  | 2019-01-27 15:57:11 |                | Pre-order 6  | Status: ready
INFO  | 2019-01-27 15:57:11 | Order Window 4 | Pre-order 6  | Thank you for your order! Have a nice day!
INFO  | 2019-01-27 15:57:11 |                | Pre-order 10 | 2 x Coca Cola 4.4
INFO  | 2019-01-27 15:57:11 |                | Pre-order 10 | 1 x French Fries 3.0
INFO  | 2019-01-27 15:57:11 |                | Pre-order 10 | 1 x McFlurry 3.0
INFO  | 2019-01-27 15:57:11 |                | Pre-order 10 | Total price: 10.4
INFO  | 2019-01-27 15:57:11 |                | Pre-order 10 | Status: packaging
INFO  | 2019-01-27 15:57:12 | Order Window 2 | Order 8      | 1 x McFlurry 3.0
INFO  | 2019-01-27 15:57:12 | Order Window 2 | Order 8      | Total price: 17.4
INFO  | 2019-01-27 15:57:12 |                | Order 8      | Status: packaging
INFO  | 2019-01-27 15:57:13 | Order Window 4 | Order 9      | 2 x McChicken 8.6
INFO  | 2019-01-27 15:57:15 | Order Window 1 | Order 5      | 1 x McFlurry was brought!
INFO  | 2019-01-27 15:57:15 | Order Window 4 | Order 9      | 2 x McFlurry 6.0
INFO  | 2019-01-27 15:57:15 | Order Window 4 | Order 9      | Total price: 20.4
INFO  | 2019-01-27 15:57:15 |                | Order 9      | Status: packaging
INFO  | 2019-01-27 15:57:15 |                | Pre-order 10 | 1 x French Fries was packaged!
INFO  | 2019-01-27 15:57:16 | Order Window 3 | Order 7      | 1 x McFlurry was brought!
